"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.327010512081567,0.0668990591463894,4.88811825239572,2.7501197155822e-05
"L_filtered",0.00279749675267031,0.00194267077487537,1.44002616853583,0.159572461466563
